1,Attack on Titan,4375
2,Death Note,4312
3,Fullmetal Alchemist: Brotherhood,3694
4,One Punch Man,3528
5,Demon Slayer,3460
6,My Hero Academia,3315
7,Sword Art Online,3307
8,Hunter x Hunter (2011),3199
9,Naruto,3126
10,Tokyo Ghoul,3064
11,Jujustu Kaisen,3052
12,Your Name,3036
13,Steins;Gate,3029
14,One Piece,2690
15,A Silent Voice,2625
16,No Game No Life,2564
17,Code Geass,2480
18,Re:Zero,2470
19,Your Lie in April,2433
20,Toradora,2372
21,Mob Psycho 100,2328
22,Noragami,2321
23,Erased,2300
24,Akame ga Kill,2276
25,Assassination Classroom,2222
26,Bleach,2216
27,Seven Deadly Sins,2215
28,Angel Beats,2205
29,Haikyuu,2180
30,The Promised Neverland,2160
31,Konosuba,2158
32,Mirai Nikki,2141
33,Cowboy Bebop,2063
34,Blue Exorcist,2057
35,Parasyte,2045
36,Neon Genesis Evangelion,2036
37,Spirited Away,2034
38,Violet Evergarden,2005
39,Chainsaw Man,1978
40,Rascal Does Not Dream of Bunny Girl Senpai,1968
41,Dr. Stone,1964
42,Kaguya-sama: Love is War,1947
43,Death Parade,1923
44,Black Clover,1910
45,Spy x Family,1901
46,JoJo's Bizarre Adventure ,1868
47,Kill la Kill,1853
48,Fairy Tail,1849
49,Vinland Saga,1832
50,Darling in the FranXX,1821